bookingtype,bookingdate,status,timeslot,duration,price,facility,theme,servicename,servicetype
Birthday Party,01-06-2025,Pending,NULL,NULL,83.96,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,01-06-2025,Pending,16:00:00,120,127.4,Party Room,Princess,Party Room,Birthday Party
Birthday Party,27-04-2025,Pending,14:00:00,90,45.55,Play Area,Sports,Play Area,Birthday Party
Birthday Party,22-06-2025,Confirmed,12:00:00,90,141.81,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,19-04-2025,Confirmed,10:00:00,45,62.43,Party Room,Superhero,Party Room,Class
Birthday Party,19-04-2025,Confirmed,11:00:00,45,34.55,Play Area,Princess,Play Area,Class
Birthday Party,30-03-2025,Confirmed,15:00:00,90,282.11,Party Room,Princess,Party Room,Facility
Birthday Party,29-03-2025,Confirmed,14:00:00,90,222.33,Party Room,Sports,Party Room,Birthday Party
Birthday Party,01-04-2025,Pending,11:00:00,90,233.04,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,23-05-2025,Pending,12:00:00,45,127.24,Party Room,Sports,Party Room,Facility
Birthday Party,16-06-2025,Confirmed,17:00:00,120,205.37,Party Room,Princess,Party Room,Class
Birthday Party,31-05-2025,Confirmed,09:00:00,45,292.93,Party Room,Sports,Party Room,Birthday Party
Birthday Party,15-06-2025,Pending,13:00:00,90,79.95,Party Room,Princess,Party Room,Birthday Party
Birthday Party,21-05-2025,Confirmed,13:00:00,120,223.02,Party Room,Sports,Party Room,Facility
Birthday Party,13-05-2025,Confirmed,NULL,NULL,103.42,Play Area,Sports,Play Area,Class
Birthday Party,09-04-2025,Pending,NULL,NULL,168.68,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,18-04-2025,Pending,16:00:00,45,106.41,Party Room,Sports,Party Room,Birthday Party
Birthday Party,11-06-2025,Confirmed,NULL,NULL,230.35,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,19-05-2025,Pending,12:00:00,90,293.68,Play Area,Princess,Play Area,Birthday Party
Birthday Party,24-05-2025,Confirmed,10:00:00,90,128.83,Party Room,Princess,Party Room,Birthday Party
Birthday Party,04-05-2025,Pending,11:00:00,120,183.19,Party Room,Sports,Party Room,Birthday Party
Birthday Party,13-04-2025,Pending,16:00:00,45,46.53,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,08-06-2025,Pending,14:00:00,45,167.47,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,25-04-2025,Confirmed,14:00:00,45,40.33,Party Room,Sports,Party Room,Birthday Party
Birthday Party,26-03-2025,Confirmed,16:00:00,90,84.45,Party Room,Sports,Party Room,Birthday Party
Birthday Party,06-04-2025,Confirmed,14:00:00,90,72.99,Play Area,Princess,Play Area,Class
Birthday Party,30-04-2025,Confirmed,11:00:00,45,39.33,Play Area,Princess,Play Area,Birthday Party
Birthday Party,31-03-2025,Pending,13:00:00,120,44.53,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,02-06-2025,Pending,14:00:00,120,104.36,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,28-04-2025,Pending,13:00:00,120,179.4,Party Room,Princess,Party Room,Class
Birthday Party,09-04-2025,Confirmed,15:00:00,45,133.33,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,20-05-2025,Pending,14:00:00,45,299.29,Play Area,Princess,Play Area,Birthday Party
Birthday Party,08-05-2025,Pending,12:00:00,90,53.03,Play Area,Princess,Play Area,Birthday Party
Birthday Party,30-03-2025,Pending,13:00:00,90,101.95,Play Area,Princess,Play Area,Birthday Party
Birthday Party,26-05-2025,Confirmed,16:00:00,90,82.41,Play Area,Sports,Play Area,Birthday Party
Birthday Party,17-06-2025,Confirmed,12:00:00,120,296.11,Play Area,Sports,Play Area,Birthday Party
Birthday Party,07-04-2025,Confirmed,13:00:00,90,49.04,Party Room,Sports,Party Room,Class
Birthday Party,12-05-2025,Confirmed,14:00:00,90,119.82,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,28-05-2025,Pending,10:00:00,45,32.66,Party Room,Superhero,Party Room,Class
Birthday Party,20-05-2025,Pending,15:00:00,90,284.6,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,02-05-2025,Confirmed,13:00:00,120,59.72,Play Area,Sports,Play Area,Birthday Party
Birthday Party,02-04-2025,Pending,17:00:00,45,282.86,Play Area,Sports,Play Area,Birthday Party
Birthday Party,27-05-2025,Confirmed,NULL,NULL,143.2,Play Area,Sports,Play Area,Birthday Party
Birthday Party,10-05-2025,Pending,16:00:00,90,88.64,Party Room,Superhero,Party Room,Class
Birthday Party,30-03-2025,Confirmed,12:00:00,90,172.12,Play Area,Princess,Play Area,Birthday Party
Birthday Party,06-05-2025,Confirmed,11:00:00,120,217.57,Play Area,Sports,Play Area,Birthday Party
Birthday Party,07-06-2025,Confirmed,NULL,NULL,128.21,Play Area,Sports,Play Area,Birthday Party
Birthday Party,23-04-2025,Confirmed,NULL,NULL,162.94,Party Room,Princess,Party Room,Birthday Party
Birthday Party,22-05-2025,Confirmed,11:00:00,45,123.26,Play Area,Princess,Play Area,Class
Birthday Party,01-04-2025,Pending,09:00:00,90,123.64,Play Area,Sports,Play Area,Class
Birthday Party,12-05-2025,Pending,10:00:00,90,39.65,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,16-06-2025,Pending,12:00:00,45,297.45,Party Room,Princess,Party Room,Birthday Party
Birthday Party,02-06-2025,Pending,09:00:00,45,251.42,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,02-05-2025,Pending,12:00:00,90,114.36,Party Room,Superhero,Party Room,Class
Birthday Party,01-04-2025,Confirmed,12:00:00,45,274.56,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,14-04-2025,Pending,NULL,NULL,270.04,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,13-05-2025,Pending,16:00:00,90,61.95,Play Area,Superhero,Play Area,Class
Birthday Party,27-04-2025,Pending,NULL,NULL,94.29,Party Room,Princess,Party Room,Birthday Party
Birthday Party,09-06-2025,Confirmed,14:00:00,45,231.89,Play Area,Princess,Play Area,Facility
Birthday Party,14-04-2025,Confirmed,15:00:00,45,136.07,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,24-04-2025,Pending,10:00:00,45,290.84,Play Area,Princess,Play Area,Birthday Party
Birthday Party,09-06-2025,Confirmed,14:00:00,120,265.22,Play Area,Princess,Play Area,Birthday Party
Birthday Party,19-04-2025,Pending,NULL,NULL,294.41,Party Room,Sports,Party Room,Birthday Party
Birthday Party,15-05-2025,Confirmed,09:00:00,90,250.93,Party Room,Princess,Party Room,Birthday Party
Birthday Party,13-04-2025,Confirmed,NULL,NULL,117.46,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,13-05-2025,Pending,11:00:00,45,284.27,Play Area,Princess,Play Area,Birthday Party
Birthday Party,02-06-2025,Pending,17:00:00,120,83.05,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,07-05-2025,Pending,NULL,NULL,153.96,Party Room,Sports,Party Room,Birthday Party
Birthday Party,21-05-2025,Confirmed,15:00:00,120,131.05,Play Area,Sports,Play Area,Facility
Birthday Party,06-04-2025,Confirmed,14:00:00,90,71.92,Party Room,Sports,Party Room,Birthday Party
Birthday Party,28-03-2025,Confirmed,NULL,NULL,286.13,Play Area,Sports,Play Area,Facility
Birthday Party,14-04-2025,Confirmed,NULL,NULL,22.12,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,08-04-2025,Pending,15:00:00,90,270.69,Party Room,Sports,Party Room,Class
Birthday Party,12-05-2025,Confirmed,14:00:00,120,155.68,Party Room,Princess,Party Room,Facility
Birthday Party,28-05-2025,Pending,13:00:00,45,159.03,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,30-04-2025,Confirmed,15:00:00,90,270.98,Play Area,Sports,Play Area,Birthday Party
Birthday Party,27-05-2025,Pending,17:00:00,120,17.05,Party Room,Sports,Party Room,Facility
Birthday Party,13-05-2025,Pending,NULL,NULL,177.1,Play Area,Princess,Play Area,Birthday Party
Birthday Party,18-06-2025,Confirmed,11:00:00,90,53.33,Party Room,Princess,Party Room,Birthday Party
Birthday Party,19-04-2025,Confirmed,16:00:00,90,86.88,Play Area,Superhero,Play Area,Facility
Birthday Party,27-04-2025,Pending,16:00:00,90,196.94,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,14-04-2025,Pending,16:00:00,90,108.54,Party Room,Princess,Party Room,Class
Birthday Party,27-04-2025,Confirmed,13:00:00,45,163.9,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,12-06-2025,Pending,14:00:00,120,98.23,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,25-03-2025,Pending,NULL,NULL,255.41,Play Area,Sports,Play Area,Class
Birthday Party,25-04-2025,Pending,10:00:00,90,186.97,Play Area,Sports,Play Area,Birthday Party
Birthday Party,21-05-2025,Pending,NULL,NULL,259.07,Play Area,Sports,Play Area,Class
Birthday Party,17-06-2025,Pending,10:00:00,90,48.72,Party Room,Sports,Party Room,Class
Birthday Party,17-06-2025,Pending,11:00:00,90,91.56,Play Area,Sports,Play Area,Facility
Birthday Party,21-04-2025,Confirmed,NULL,NULL,100.68,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,23-04-2025,Confirmed,16:00:00,90,116.33,Party Room,Sports,Party Room,Class
Birthday Party,24-05-2025,Pending,NULL,NULL,152.35,Party Room,Princess,Party Room,Birthday Party
Birthday Party,16-05-2025,Pending,14:00:00,90,252.63,Party Room,Princess,Party Room,Class
Birthday Party,27-04-2025,Confirmed,11:00:00,45,250.67,Party Room,Princess,Party Room,Facility
Birthday Party,06-05-2025,Pending,11:00:00,90,48.62,Play Area,Superhero,Play Area,Facility
Birthday Party,21-04-2025,Confirmed,16:00:00,90,57.85,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,25-05-2025,Pending,14:00:00,120,283.64,Party Room,Princess,Party Room,Birthday Party
Birthday Party,03-05-2025,Confirmed,11:00:00,45,195.41,Party Room,Sports,Party Room,Facility
Birthday Party,11-04-2025,Confirmed,17:00:00,120,255.82,Party Room,Sports,Party Room,Class
Birthday Party,23-05-2025,Confirmed,NULL,NULL,63.07,Play Area,Princess,Play Area,Birthday Party
Birthday Party,06-04-2025,Confirmed,13:00:00,120,144.5,Play Area,Sports,Play Area,Birthday Party
Birthday Party,07-05-2025,Pending,15:00:00,90,97.61,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,10-06-2025,Pending,16:00:00,45,279.72,Party Room,Princess,Party Room,Birthday Party
Birthday Party,23-04-2025,Pending,10:00:00,45,286.03,Play Area,Sports,Play Area,Facility
Birthday Party,01-04-2025,Confirmed,NULL,NULL,218.39,Party Room,Superhero,Party Room,Class
Birthday Party,27-04-2025,Confirmed,17:00:00,45,50.45,Play Area,Princess,Play Area,Facility
Birthday Party,19-06-2025,Pending,12:00:00,45,59.2,Play Area,Princess,Play Area,Birthday Party
Birthday Party,27-05-2025,Pending,13:00:00,90,261.73,Play Area,Sports,Play Area,Class
Birthday Party,08-04-2025,Pending,15:00:00,45,288.94,Play Area,Princess,Play Area,Birthday Party
Birthday Party,22-05-2025,Pending,15:00:00,120,112.63,Party Room,Sports,Party Room,Facility
Birthday Party,18-05-2025,Pending,12:00:00,45,181.06,Play Area,Princess,Play Area,Class
Birthday Party,24-05-2025,Pending,NULL,NULL,290.35,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,28-04-2025,Confirmed,09:00:00,45,115.49,Play Area,Princess,Play Area,Birthday Party
Birthday Party,13-06-2025,Confirmed,10:00:00,45,88.54,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,05-04-2025,Pending,11:00:00,45,78.27,Party Room,Princess,Party Room,Class
Birthday Party,03-05-2025,Confirmed,10:00:00,90,258.03,Play Area,Superhero,Play Area,Class
Birthday Party,27-04-2025,Pending,15:00:00,90,202.46,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,26-03-2025,Confirmed,16:00:00,120,195.16,Play Area,Princess,Play Area,Birthday Party
Birthday Party,08-04-2025,Confirmed,11:00:00,120,16.93,Party Room,Princess,Party Room,Birthday Party
Birthday Party,02-04-2025,Confirmed,13:00:00,90,154.85,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,04-04-2025,Confirmed,17:00:00,45,68.46,Play Area,Princess,Play Area,Birthday Party
Birthday Party,05-05-2025,Pending,13:00:00,120,287.39,Play Area,Superhero,Play Area,Class
Birthday Party,13-04-2025,Pending,16:00:00,120,159.42,Party Room,Princess,Party Room,Birthday Party
Birthday Party,14-04-2025,Confirmed,10:00:00,45,262.54,Party Room,Sports,Party Room,Birthday Party
Birthday Party,19-04-2025,Pending,15:00:00,90,288.29,Play Area,Princess,Play Area,Birthday Party
Birthday Party,03-04-2025,Pending,14:00:00,120,220.88,Play Area,Princess,Play Area,Birthday Party
Birthday Party,28-04-2025,Pending,NULL,NULL,231.95,Play Area,Sports,Play Area,Birthday Party
Birthday Party,08-06-2025,Pending,NULL,NULL,260.95,Play Area,Sports,Play Area,Birthday Party
Birthday Party,18-05-2025,Pending,NULL,NULL,227.32,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,15-06-2025,Pending,12:00:00,45,150.6,Party Room,Sports,Party Room,Birthday Party
Birthday Party,21-04-2025,Confirmed,13:00:00,120,251.72,Party Room,Sports,Party Room,Birthday Party
Birthday Party,20-04-2025,Pending,17:00:00,90,23.66,Play Area,Superhero,Play Area,Class
Birthday Party,05-05-2025,Confirmed,09:00:00,120,210.02,Party Room,Princess,Party Room,Birthday Party
Birthday Party,15-05-2025,Confirmed,15:00:00,45,104.41,Play Area,Princess,Play Area,Birthday Party
Birthday Party,01-05-2025,Pending,NULL,NULL,49.37,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,25-04-2025,Pending,NULL,NULL,90.76,Party Room,Princess,Party Room,Birthday Party
Birthday Party,28-04-2025,Pending,14:00:00,120,206.71,Party Room,Superhero,Party Room,Facility
Birthday Party,18-05-2025,Pending,09:00:00,45,145.36,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,31-05-2025,Confirmed,NULL,NULL,146.34,Party Room,Princess,Party Room,Birthday Party
Birthday Party,01-05-2025,Pending,17:00:00,90,174.5,Party Room,Sports,Party Room,Birthday Party
Birthday Party,25-04-2025,Pending,09:00:00,90,179.61,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,19-04-2025,Confirmed,16:00:00,90,207.71,Party Room,Princess,Party Room,Birthday Party
Birthday Party,06-05-2025,Confirmed,NULL,NULL,43.79,Play Area,Sports,Play Area,Birthday Party
Birthday Party,02-06-2025,Confirmed,15:00:00,120,180.62,Party Room,Superhero,Party Room,Class
Birthday Party,30-04-2025,Pending,09:00:00,90,37.31,Play Area,Superhero,Play Area,Facility
Birthday Party,06-06-2025,Confirmed,15:00:00,45,212.87,Play Area,Princess,Play Area,Facility
Birthday Party,04-05-2025,Confirmed,NULL,NULL,104.83,Party Room,Princess,Party Room,Birthday Party
